Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10
Id;Waktu;Ketinggian;Temperatur;Kelembapan Relatif;Tekanan;Arah Angin;Kecepatan Angin;Lintang;Bujur
MAHESWARA_KOMBAT2019;06:21:11;0.0;24.4;76.3;1014.1;180.0;0.05;-7.643369;107.685539
MAHESWARA_KOMBAT2019;06:21:12;0.0;24.4;76.3;1014.1;180.0;0.05;-7.64337;107.685539
MAHESWARA_KOMBAT2019;06:21:41;0.0;24.4;76.3;1014.1;0.0;0.0;-7.64337;107.685539
MAHESWARA_KOMBAT2019;06:23:42;0.0;24.5;76.0;1014.0;180.0;0.05;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:23:44;0.0;24.5;76.3;1014.1;0.0;0.0;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:23:45;0.0;24.5;75.6;1014.1;0.0;0.0;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:23:46;0.0;24.5;76.0;1014.1;180.0;0.05;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:23:47;0.0;24.5;76.5;1014.2;0.0;0.05;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:23:48;0.0;24.5;76.4;1014.2;0.0;0.0;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:23:49;0.0;24.5;76.1;1014.1;0.0;0.0;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:23:50;0.0;24.5;76.0;1014.1;0.0;0.0;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:23:51;0.0;24.5;76.0;1014.1;0.0;0.0;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:23:52;0.0;24.5;75.5;1013.9;0.0;0.0;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:23:53;0.0;24.5;76.0;1014.2;0.0;0.0;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:23:54;0.0;24.5;76.0;1014.2;0.0;0.0;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:23:55;0.0;24.5;75.8;1014.1;180.0;0.05;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:23:56;0.0;24.5;76.0;1014.1;0.0;0.0;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:23:57;0.0;24.5;75.9;1014.1;0.0;0.0;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:23:58;0.0;24.5;76.3;1014.1;0.0;0.0;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:23:59;0.0;24.5;76.3;1014.1;0.0;0.0;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:24:00;0.0;24.5;75.7;1014.1;0.0;0.0;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:24:01;0.0;24.5;76.0;1014.2;0.0;0.0;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:24:02;0.0;24.5;76.0;1014.2;0.0;0.0;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:24:03;0.0;24.5;76.0;1014.1;0.0;0.0;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:24:04;0.0;24.5;75.6;1014.2;0.0;0.0;-7.643374;107.685539
MAHESWARA_KOMBAT2019;06:24:05;0.0;24.5;76.0;1014.1;180.0;0.05;-7.643375;107.685539
MAHESWARA_KOMBAT2019;06:24:06;0.0;24.5;76.0;1014.1;0.0;0.0;-7.643375;107.685539
MAHESWARA_KOMBAT2019;06:24:07;0.0;24.5;76.5;1014.1;0.0;0.0;-7.643375;107.685539
MAHESWARA_KOMBAT2019;06:24:08;0.0;24.5;76.6;1014.1;180.0;0.05;-7.643375;107.685539
MAHESWARA_KOMBAT2019;06:24:35;0.0;24.5;76.2;1014.1;0.0;0.0;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:24:37;0.0;24.5;75.9;1014.2;0.0;0.0;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:24:38;0.0;24.5;76.0;1014.1;0.0;0.05;-7.643375;107.685539
MAHESWARA_KOMBAT2019;06:24:39;0.0;24.5;75.6;1014.1;180.0;0.05;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:24:40;0.0;24.5;75.9;1014.0;0.0;0.0;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:24:41;0.0;24.5;76.0;1014.1;0.0;0.0;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:24:42;0.0;24.5;75.8;1014.1;180.0;0.05;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:24:43;0.0;24.5;75.9;1014.1;0.0;0.0;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:24:44;1.4;24.5;75.8;1013.7;0.0;0.0;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:24:45;0.0;24.5;75.8;1014.0;0.0;0.0;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:24:46;0.0;24.5;75.9;1014.1;0.0;0.0;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:24:47;0.0;24.5;75.8;1014.1;180.0;0.05;-7.643377;107.685539
MAHESWARA_KOMBAT2019;06:24:48;0.0;24.5;75.8;1014.0;0.0;0.0;-7.643377;107.685539
MAHESWARA_KOMBAT2019;06:24:49;0.0;24.5;76.0;1014.0;0.0;0.0;-7.643377;107.685539
MAHESWARA_KOMBAT2019;06:24:50;0.0;24.5;75.7;1014.0;180.0;0.05;-7.643377;107.685539
MAHESWARA_KOMBAT2019;06:24:51;0.0;24.5;75.7;1014.1;0.0;0.0;-7.643377;107.685539
MAHESWARA_KOMBAT2019;06:24:52;0.0;24.5;75.8;1014.0;0.0;0.0;-7.643377;107.685539
MAHESWARA_KOMBAT2019;06:24:53;0.0;24.5;75.5;1014.1;180.0;0.05;-7.643378;107.685539
MAHESWARA_KOMBAT2019;06:24:54;0.0;24.5;75.7;1014.0;0.0;0.0;-7.643378;107.685539
MAHESWARA_KOMBAT2019;06:24:55;0.0;24.5;75.7;1014.1;0.0;0.0;-7.643378;107.685539
MAHESWARA_KOMBAT2019;06:24:56;0.0;24.5;75.5;1014.1;0.0;0.0;-7.643378;107.685539
MAHESWARA_KOMBAT2019;06:24:57;0.0;24.5;75.5;1014.1;0.0;0.0;-7.643378;107.685539
MAHESWARA_KOMBAT2019;06:24:58;0.0;24.5;76.0;1014.1;0.0;0.0;-7.643378;107.685539
MAHESWARA_KOMBAT2019;06:25:01;0.0;24.5;75.7;1014.1;0.0;0.0;-7.643375;107.685539
MAHESWARA_KOMBAT2019;06:25:23;0.0;24.6;75.8;1014.0;0.0;0.0;-7.643375;107.685539
MAHESWARA_KOMBAT2019;06:25:25;0.2;24.6;75.6;1013.8;0.0;0.0;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:25:26;0.0;24.6;75.6;1014.0;0.0;0.0;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:25:28;0.0;24.6;75.6;1014.0;0.0;0.0;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:25:29;0.0;24.6;75.7;1014.0;0.0;0.0;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:25:30;0.0;24.6;75.6;1014.0;0.0;0.0;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:25:31;0.0;24.6;75.4;1014.0;0.0;0.0;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:25:32;0.0;24.6;75.6;1014.0;0.0;0.0;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:25:33;0.0;24.6;75.6;1014.0;0.0;0.0;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:25:34;0.0;24.6;75.6;1014.0;0.0;0.0;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:25:35;0.0;24.6;75.7;1014.0;0.0;0.0;-7.643376;107.685539
MAHESWARA_KOMBAT2019;06:25:36;0.0;24.6;75.5;1014.0;0.0;0.05;-7.643375;107.685539
MAHESWARA_KOMBAT2019;06:25:37;0.0;24.6;75.4;1014.1;0.0;0.0;-7.643375;107.685539
MAHESWARA_KOMBAT2019;06:27:29;0.0;24.6;75.7;1014.0;0.0;0.0;-7.643377;107.685532
MAHESWARA_KOMBAT2019;06:27:30;0.0;24.6;75.4;1014.0;0.0;0.0;-7.643377;107.685532
MAHESWARA_KOMBAT2019;06:27:31;0.0;24.6;75.8;1014.0;0.0;0.0;-7.643377;107.685532
